six_code,index,machine_tags,neighbors_h1,prompt_cn,prompt_en,icon_path
011100,28,l1 011100|l2 011100|l3 011100|l4 011100|l5 011100|r1 011100|r2 011100|r3 011100|r4 011100|r5 011100|c1 011100|c2 011100,111100|001100|010100|011000|011110|011101,,,
011101,29,l1 011101|l2 011101|l3 011101|l4 011101|l5 011101|r1 011101|r2 011101|r3 011101|r4 011101|r5 011101|c1 011101|c2 011101,111101|001101|010101|011001|011111|011100,,,
011110,30,l1 011110|l2 011110|l3 011110|l4 011110|l5 011110|r1 011110|r2 011110|r3 011110|r4 011110|r5 011110|c1 011110|c2 011110,111110|001110|010110|011010|011100|011111,,,
011111,31,l1 011111|l2 011111|l3 011111|l4 011111|l5 011111|r1 011111|r2 011111|r3 011111|r4 011111|r5 011111|c1 011111|c2 011111,111111|001111|010111|011011|011101|011110,,,
100000,32,l1 100000|l2 100000|l3 100000|l4 100000|l5 100000|r1 100000|r2 100000|r3 100000|r4 100000|r5 100000|c1 100000|c2 100000,000000|110000|101000|100100|100010|100001,,,
100001,33,l1 100001|l2 100001|l3 100001|l4 100001|l5 100001|r1 100001|r2 100001|r3 100001|r4 100001|r5 100001|c1 100001|c2 100001,000001|110001|101001|100101|100011|100000,,,
100010,34,l1 100010|l2 100010|l3 100010|l4 100010|l5 100010|r1 100010|r2 100010|r3 100010|r4 100010|r5 100010|c1 100010|c2 100010,000010|110010|101010|100110|100000|100011,,,
100011,35,l1 100011|l2 100011|l3 100011|l4 100011|l5 100011|r1 100011|r2 100011|r3 100011|r4 100011|r5 100011|c1 100011|c2 100011,000011|110011|101011|100111|100001|100010,,,
100100,36,l1 100100|l2 100100|l3 100100|l4 100100|l5 100100|r1 100100|r2 100100|r3 100100|r4 100100|r5 100100|c1 100100|c2 100100,000100|110100|101100|100000|100110|100101,,,
100101,37,l1 100101|l2 100101|l3 100101|l4 100101|l5 100101|r1 100101|r2 100101|r3 100101|r4 100101|r5 100101|c1 100101|c2 100101,000101|110101|101101|100001|100111|100100,,,
100110,38,l1 100110|l2 100110|l3 100110|l4 100110|l5 100110|r1 100110|r2 100110|r3 100110|r4 100110|r5 100110|c1 100110|c2 100110,000110|110110|101110|100010|100100|100111,,,
100111,39,l1 100111|l2 100111|l3 100111|l4 100111|l5 100111|r1 100111|r2 100111|r3 100111|r4 100111|r5 100111|c1 100111|c2 100111,000111|110111|101111|100011|100101|100110,,,
101000,40,l1 101000|l2 101000|l3 101000|l4 101000|l5 101000|r1 101000|r2 101000|r3 101000|r4 101000|r5 101000|c1 101000|c2 101000,001000|111000|100000|101100|101010|101001,,,
